RANK,TEAM,SEASON,CONFERENCE,DIVISION,W,L,W/L%,MOV,ORTG,DRTG,NRTG,ADJUSTED_MOV,ADJUSTED_ORTG,ADJUSTED_DRTG,ADJUSTED_NRTG
11,Denver Nuggets,2007-2008,W,NW,50,32,0.61,3.71,110.46,106.95,3.51,3.74,110.48,106.93,3.55
12,Toronto Raptors,2007-2008,E,A,41,41,0.5,2.9,111.06,107.46,3.6,2.47,110.99,107.86,3.12
13,Golden State Warriors,2007-2008,W,P,48,34,0.585,2.21,112.46,110.24,2.22,2.38,112.59,110.19,2.39
14,Philadelphia 76ers,2007-2008,E,A,40,42,0.488,0.41,107.38,106.91,0.47,0.19,107.25,107.01,0.24
15,Portland Trail Blazers,2007-2008,W,NW,41,41,0.5,-0.98,107.97,109.07,-1.1,-0.52,108.11,108.73,-0.61
16,Cleveland Cavaliers,2007-2008,E,C,45,37,0.5489999999999999,-0.35,106.66,107.15,-0.49,-0.52,106.58,107.23,-0.65
17,Washington Wizards,2007-2008,E,SE,43,39,0.524,-0.33,110.03,110.39,-0.36,-0.6,110.06,110.71,-0.65
18,Indiana Pacers,2007-2008,E,C,36,46,0.439,-1.4,106.69,108.2,-1.51,-1.86,106.47,108.47,-2.0
19,Sacramento Kings,2007-2008,W,P,38,44,0.46299999999999997,-2.26,108.25,110.71,-2.45,-1.85,108.48,110.51,-2.03
20,Atlanta Hawks,2007-2008,E,SE,37,45,0.451,-1.82,107.6,109.52,-1.92,-2.23,107.44,109.81,-2.37
21,Chicago Bulls,2007-2008,E,C,33,49,0.402,-3.09,104.65,107.91,-3.26,-3.19,104.6,107.96,-3.36
22,Charlotte Bobcats,2007-2008,E,SE,32,50,0.39,-4.38,105.39,110.22,-4.83,-4.48,105.43,110.36,-4.93
23,New Jersey Nets,2007-2008,E,A,34,48,0.415,-5.06,104.61,110.25,-5.64,-5.15,104.6,110.32,-5.72
24,Memphis Grizzlies,2007-2008,W,SW,22,60,0.268,-6.21,105.44,112.07,-6.62,-5.75,105.72,111.86,-6.14
25,Minnesota Timberwolves,2007-2008,W,NW,22,60,0.268,-6.78,104.42,111.96,-7.54,-6.25,104.62,111.59,-6.97
26,New York Knicks,2007-2008,E,A,23,59,0.28,-6.61,105.34,112.45,-7.11,-6.54,105.54,112.57,-7.03
27,Los Angeles Clippers,2007-2008,W,P,23,59,0.28,-7.27,101.63,109.76,-8.14,-6.56,101.66,109.05,-7.38
28,Milwaukee Bucks,2007-2008,E,C,26,56,0.317,-6.89,105.74,113.43,-7.68,-6.91,105.95,113.64,-7.69
29,Seattle SuperSonics,2007-2008,W,NW,20,62,0.244,-8.76,101.17,110.16,-8.99,-8.04,101.3,109.54,-8.24
30,Miami Heat,2007-2008,E,SE,15,67,0.183,-8.65,101.13,110.8,-9.68,-8.53,101.12,110.64,-9.52
1,Cleveland Cavaliers,2008-2009,E,C,66,16,0.805,8.93,113.29,103.2,10.09,8.68,113.18,103.37,9.8
2,Boston Celtics,2008-2009,E,A,62,20,0.7559999999999999,7.51,111.25,103.02,8.24,7.44,111.21,103.05,8.16
3,Los Angeles Lakers,2008-2009,W,P,65,17,0.7929999999999999,7.66,113.43,105.29,8.14,7.11,113.0,105.45,7.55
4,Orlando Magic,2008-2009,E,SE,59,23,0.72,6.7,109.66,102.58,7.08,6.49,109.52,102.66,6.86
5,Portland Trail Blazers,2008-2009,W,NW,54,28,0.659,5.34,114.74,108.68,6.06,5.0,114.62,108.94,5.67
6,Houston Rockets,2008-2009,W,SW,53,29,0.6459999999999999,4.0,109.22,104.67,4.55,3.73,108.94,104.69,4.25
7,San Antonio Spurs,2008-2009,W,SW,54,28,0.659,3.76,109.18,105.01,4.17,3.36,108.79,105.05,3.74
8,Denver Nuggets,2008-2009,W,NW,54,28,0.659,3.41,111.03,107.68,3.35,3.13,110.83,107.78,3.05
9,Utah Jazz,2008-2009,W,NW,48,34,0.585,2.65,110.84,107.89,2.96,2.31,110.52,107.93,2.59
10,Atlanta Hawks,2008-2009,E,SE,47,35,0.573,1.57,110.28,108.43,1.84,1.7,110.49,108.51,1.98
11,Dallas Mavericks,2008-2009,W,SW,50,32,0.61,1.98,111.2,109.14,2.06,1.68,111.03,109.29,1.74
12,Phoenix Suns,2008-2009,W,P,46,36,0.561,1.93,114.2,112.3,1.89,1.62,114.12,112.55,1.57
13,New Orleans Hornets,2008-2009,W,SW,49,33,0.598,1.55,109.75,108.07,1.68,1.41,109.6,108.07,1.53
14,Miami Heat,2008-2009,E,SE,43,39,0.524,0.26,108.34,108.28,0.06,0.49,108.56,108.24,0.32
15,Philadelphia 76ers,2008-2009,E,A,41,41,0.5,0.07,108.79,108.79,0.0,0.16,108.89,108.79,0.1
16,Chicago Bulls,2008-2009,E,C,41,41,0.5,-0.28,109.32,109.54,-0.22,-0.16,109.48,109.57,-0.09
17,Detroit Pistons,2008-2009,E,C,39,43,0.47600000000000003,-0.49,108.21,108.79,-0.58,-0.36,108.34,108.78,-0.44
