RANK,TEAM,SEASON,CONFERENCE,DIVISION,W,L,W/L%,MOV,ORTG,DRTG,NRTG,ADJUSTED_MOV,ADJUSTED_ORTG,ADJUSTED_DRTG,ADJUSTED_NRTG
18,Charlotte Hornets,2017-2018,E,SE,36,46,0.439,0.26,109.95,109.72,0.23,0.07,109.93,109.89,0.04
19,Detroit Pistons,2017-2018,E,C,39,43,0.47600000000000003,-0.15,107.95,108.14,-0.19,-0.26,107.84,108.14,-0.3
20,Milwaukee Bucks,2017-2018,E,C,44,38,0.537,-0.3,110.67,110.98,-0.31,-0.45,110.7,111.16,-0.46
21,Los Angeles Lakers,2017-2018,W,P,35,47,0.42700000000000005,-1.55,107.1,108.64,-1.54,-1.43,106.96,108.39,-1.43
22,Dallas Mavericks,2017-2018,W,SW,24,58,0.293,-3.04,106.92,110.0,-3.08,-2.7,106.96,109.7,-2.74
23,New York Knicks,2017-2018,E,A,29,53,0.354,-3.56,107.72,111.36,-3.65,-3.53,107.77,111.38,-3.61
24,Brooklyn Nets,2017-2018,E,A,28,54,0.341,-3.74,107.71,111.51,-3.8,-3.67,107.83,111.55,-3.72
25,Orlando Magic,2017-2018,E,SE,25,57,0.305,-4.82,105.83,110.85,-5.02,-4.92,105.77,110.88,-5.11
26,Atlanta Hawks,2017-2018,E,SE,24,58,0.293,-5.45,105.74,111.21,-5.47,-5.3,105.81,111.12,-5.31
27,Memphis Grizzlies,2017-2018,W,SW,22,60,0.268,-6.21,105.29,111.85,-6.57,-5.81,105.44,111.59,-6.15
28,Chicago Bulls,2017-2018,E,C,27,55,0.32899999999999996,-7.04,104.39,111.61,-7.22,-6.84,104.46,111.47,-7.01
29,Sacramento Kings,2017-2018,W,P,27,55,0.32899999999999996,-6.99,104.47,111.9,-7.43,-6.59,104.6,111.62,-7.02
30,Phoenix Suns,2017-2018,W,P,21,61,0.256,-9.37,104.25,113.51,-9.26,-8.8,104.5,113.19,-8.69
1,Milwaukee Bucks,2018-2019,E,C,60,22,0.732,8.87,114.23,105.76,8.47,8.05,113.89,106.23,7.66
2,Golden State Warriors,2018-2019,W,P,57,25,0.695,6.46,116.63,110.24,6.39,6.42,116.6,110.24,6.37
3,Toronto Raptors,2018-2019,E,A,58,24,0.7070000000000001,6.09,113.99,108.0,5.99,5.49,113.78,108.4,5.38
4,Utah Jazz,2018-2019,W,NW,50,32,0.61,5.26,111.35,106.11,5.24,5.29,111.23,105.94,5.28
5,Houston Rockets,2018-2019,W,SW,53,29,0.6459999999999999,4.77,116.25,111.43,4.82,4.97,116.45,111.43,5.03
6,Portland Trail Blazers,2018-2019,W,NW,53,29,0.6459999999999999,4.2,115.45,111.07,4.38,4.44,115.63,111.01,4.62
7,Denver Nuggets,2018-2019,W,NW,54,28,0.659,3.95,113.76,109.62,4.14,4.2,113.74,109.35,4.39
8,Boston Celtics,2018-2019,E,A,49,33,0.598,4.44,112.78,108.35,4.43,3.9,112.57,108.69,3.88
9,Oklahoma City Thunder,2018-2019,W,NW,49,33,0.598,3.4,110.85,107.53,3.31,3.56,110.71,107.22,3.49
10,Indiana Pacers,2018-2019,E,C,48,34,0.585,3.33,110.62,107.23,3.39,2.76,110.31,107.5,2.8
11,Philadelphia 76ers,2018-2019,E,A,51,31,0.622,2.7,113.21,110.58,2.64,2.26,113.16,110.97,2.19
12,San Antonio Spurs,2018-2019,W,SW,48,34,0.585,1.68,113.3,111.55,1.75,1.81,113.3,111.42,1.88
13,Los Angeles Clippers,2018-2019,W,P,48,34,0.585,0.85,113.14,112.33,0.81,1.09,113.29,112.22,1.06
14,Orlando Magic,2018-2019,E,SE,42,40,0.512,0.71,109.46,108.82,0.65,0.28,109.26,109.05,0.21
15,Miami Heat,2018-2019,E,SE,39,43,0.47600000000000003,-0.23,108.22,108.35,-0.13,-0.45,108.03,108.39,-0.36
16,Brooklyn Nets,2018-2019,E,A,42,40,0.512,-0.07,110.3,110.36,-0.06,-0.4,110.15,110.56,-0.41
17,Detroit Pistons,2018-2019,E,C,41,41,0.5,-0.24,109.93,110.13,-0.2,-0.55,109.86,110.38,-0.53
18,Sacramento Kings,2018-2019,W,P,39,43,0.47600000000000003,-1.12,111.17,112.19,-1.02,-0.81,111.29,112.0,-0.71
19,Dallas Mavericks,2018-2019,W,SW,33,49,0.402,-1.28,110.19,111.41,-1.22,-0.86,110.29,111.08,-0.79
20,Minnesota Timberwolves,2018-2019,W,NW,36,46,0.439,-1.5,112.04,113.54,-1.51,-1.02,112.31,113.32,-1.01
21,New Orleans Pelicans,2018-2019,W,SW,33,49,0.402,-1.33,111.85,113.1,-1.25,-1.1,111.98,112.98,-1.01
22,Los Angeles Lakers,2018-2019,W,P,37,45,0.451,-1.72,108.52,110.18,-1.66,-1.32,108.46,109.71,-1.26
23,Charlotte Hornets,2018-2019,E,SE,39,43,0.47600000000000003,-1.1,112.1,113.16,-1.06,-1.31,112.11,113.41,-1.3
24,Memphis Grizzlies,2018-2019,W,SW,33,49,0.402,-2.6,106.96,109.66,-2.7,-2.08,106.93,109.09,-2.17
25,Washington Wizards,2018-2019,E,SE,32,50,0.39,-2.9,111.72,114.56,-2.84,-3.3,111.72,114.97,-3.25
26,Atlanta Hawks,2018-2019,E,SE,29,53,0.354,-6.02,108.71,114.41,-5.7,-6.06,108.83,114.59,-5.76
27,Chicago Bulls,2018-2019,E,C,22,60,0.268,-8.41,105.45,113.94,-8.49,-8.32,105.49,113.9,-8.41
28,Phoenix Suns,2018-2019,W,P,19,63,0.23199999999999998,-9.34,106.29,115.55,-9.26,-8.61,106.59,115.11,-8.52
29,New York Knicks,2018-2019,E,A,17,65,0.207,-9.21,105.13,114.39,-9.26,-8.92,105.31,114.3,-8.98
30,Cleveland Cavaliers,2018-2019,E,C,19,63,0.23199999999999998,-9.61,108.5,118.54,-10.04,-9.39,108.83,118.64,-9.82
