"bbref_id","season","age","team","league","position","games_played","minutes_played","PER","TS_perc","three_point_rate","FTr","ORB_perc","DRB_perc","TRB_perc","AST_perc","STL_perc","BLK_perc","TOV_perc","USG_perc","OWS","DWS","WS","WS_per_48","OBPM","DBPM","BPM","VORP","team_flag"
"artesro01","2006",26,"SAC","NBA","SF",40,1604,14.1,0.474,0.316,0.292,3.6,11.5,7.6,17.6,2.6,1.4,11,22.8,0.1,2.1,2.2,0.067,0,1.1,1.1,1.2,FALSE
"artesro01","2007",27,"SAC","NBA","SF",70,2641,18.5,0.538,0.25,0.399,4.4,16,10.1,15.6,2.9,1.3,10.7,23.3,3.6,3.1,6.7,0.122,1.9,1.4,3.3,3.5,TRUE
"artesro01","2008",28,"SAC","NBA","SF",57,2172,18.8,0.535,0.23,0.307,5.6,12.1,8.9,16.2,3.1,1.4,11.9,25.5,2.4,2.2,4.7,0.103,2.2,0.5,2.7,2.6,TRUE
"artesro01","2009",29,"HOU","NBA","SF",69,2452,15.6,0.512,0.369,0.253,3.2,13.4,8.5,16.2,2.3,0.7,10.8,24.5,1.6,4,5.5,0.108,1.1,1.2,2.3,2.7,TRUE
"artesro01","2010",30,"LAL","NBA","SF",77,2605,12.1,0.514,0.4,0.251,4.3,9.9,7.1,13.3,2.1,0.6,12.8,16.2,1.8,3.5,5.3,0.098,0.3,1.2,1.5,2.3,TRUE
"artesro01","2011",31,"LAL","NBA","SF",82,2410,11.2,0.485,0.354,0.207,4.9,7.6,6.3,10.7,2.7,1.1,11.1,15.3,1.2,3.2,4.4,0.088,-0.3,1.4,1.1,1.9,TRUE
"artesro01","2012",32,"LAL","NBA","SF",64,1720,11,0.478,0.406,0.247,4.8,9.1,7.1,12.5,2.1,1.1,11.8,15.6,0.9,1.7,2.6,0.073,-0.2,0.7,0.5,1.1,TRUE
"artesro01","2013",33,"LAL","NBA","SF",75,2530,12.5,0.517,0.5,0.205,4.5,11.5,8.1,6.9,2.5,1.2,9.8,17.5,1.9,2.6,4.6,0.086,0.6,0.8,1.4,2.2,TRUE
"artesro01","2014",34,"NYK","NBA","SF",29,388,11.7,0.469,0.383,0.113,5.3,12.8,8.9,7.1,3.3,1.8,11.4,20,-0.2,0.4,0.3,0.032,-1.9,-0.1,-2.1,0,TRUE
"artesro01","2016",36,"LAL","NBA","SF",35,590,8.3,0.435,0.475,0.322,3.4,13.2,8.1,7.2,1.9,1.5,6.9,16.2,-0.2,0.3,0.1,0.008,-2.8,-1,-3.8,-0.3,TRUE
