"bbref_id","season","salary","contract_type","salary_prop_cap"
"anderde01",2002,6495000,"past",0.152823529411765
"anderde01",2003,7144500,"past",0.177410543567331
"anderde01",2004,7794000,"past",0.177782846715328
"anderde01",2005,8443500,"past",0.192466377934807
"anderde01",2006,10763000,"past",0.217434343434343
"anderde01",2007,11043897,"past",0.207845996047803
"anderde01",2008,1219590,"past",0.0219232428545749
"anderja01",2011,1361400,"past",0.0234546206326235
"anderja01",2012,1463520,"past",0.0252139756047137
"anderja01",2013,618176,"past",0.0106501274894907
"anderja01",2014,916099,"past",0.0156120417866698
"anderja01",2016,1015421,"past",0.0145060142857143
"anderju01",2016,1449000,"past",0.0207
"anderju01",2017,1514160,"past",0.0160836174755425
"anderju01",2018,1579440,"past",0.0159389664254791
"anderju01",2019,2516048,"regular",0.024698858337669
"anderke01",1992,1828000,"past",0.14624
"anderke01",1993,2376000,"past",0.169714285714286
"anderke01",1994,2925000,"past",0.192751235584843
"anderke01",1995,3463200,"past",0.216938110749186
"anderke01",1996,3898000,"past",0.169478260869565
"anderke01",1997,4175000,"past",0.171366416286993
"anderke01",1998,5010000,"past",0.186245353159851
"anderke01",1999,5845000,"past",0.194833333333333
"anderke01",2000,6680000,"past",0.196470588235294
"anderke01",2001,7520000,"past",0.211830985915493
"anderke01",2002,8350000,"past",0.196470588235294
"anderke01",2003,9185000,"past",0.228079759628517
"anderke01",2004,1070000,"past",0.0244069343065693
"anderke01",2005,1100000,"past",0.0250740825165261
"anderky01",2015,1093680,"past",0.01734210734956
"anderky01",2016,1142879,"past",0.0163268428571429
"anderky01",2017,1192080,"past",0.0126624390554794
"anderky01",2018,2151704,"past",0.0217139858516747
"anderky01",2019,8641000,"regular",0.084824627708135
"anderky01",2020,9073050,"regular",0.0832389908256881
"anderky01",2021,9505100,"regular",0.0819405172413793
"anderky01",2022,9937150,"regular",NA
"anderry01",2009,1225200,"past",0.020879345603272
"anderry01",2010,1317120,"past",0.0228270363951473
