RANK,SEASON,TEAM,PLAYOFF_TEAM,G,MP,FG%,AVERAGE_DISTANCE,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,FGA_16-3PT,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3PT,FG%_3P,%ASTD_2P,%FGA_DUNKS,DUNKS_MADE,%FGA_LAYUPS,LAYUPS_MADE,%ASTD_3P,%FGA3P_CORNER,FG%3_CORNER,HEAVE_ATTEMPTS,HEAVE_MAKES
23.0,2007-2008,Phoenix Suns,1,82,19780,0.5,12.7,0.74,0.31,0.11599999999999999,0.102,0.21100000000000002,0.26,0.5379999999999999,0.6709999999999999,0.44,0.439,0.444,0.39299999999999996,0.6,0.066,422,0.233,961,0.818,0.322,0.401,5.0,0.0
24.0,2007-2008,Portland Trail Blazers,0,82,19905,0.44799999999999995,14.1,0.782,0.214,0.13699999999999998,0.121,0.311,0.218,0.46799999999999997,0.603,0.43,0.40700000000000003,0.41600000000000004,0.377,0.516,0.048,276,0.153,531,0.92,0.379,0.409,29.0,1.0
25.0,2007-2008,Sacramento Kings,0,82,19830,0.46399999999999997,12.0,0.792,0.33,0.124,0.098,0.239,0.20800000000000002,0.488,0.599,0.391,0.397,0.423,0.373,0.451,0.044000000000000004,273,0.27,991,0.833,0.267,0.389,8.0,0.0
26.0,2007-2008,San Antonio Spurs,1,82,19730,0.457,13.2,0.7490000000000001,0.248,0.157,0.11599999999999999,0.22699999999999998,0.251,0.48700000000000004,0.649,0.401,0.402,0.413,0.369,0.498,0.017,94,0.225,923,0.9279999999999999,0.414,0.401,11.0,0.0
27.0,2007-2008,Seattle SuperSonics,0,82,19830,0.444,11.6,0.866,0.287,0.159,0.14400000000000002,0.27699999999999997,0.134,0.462,0.594,0.39,0.377,0.408,0.33299999999999996,0.527,0.057,363,0.209,774,0.85,0.243,0.377,5.0,0.0
28.0,2007-2008,Toronto Raptors,1,82,19830,0.46799999999999997,13.6,0.7829999999999999,0.272,0.085,0.111,0.314,0.217,0.489,0.603,0.44299999999999995,0.426,0.425,0.392,0.5489999999999999,0.053,317,0.20199999999999999,733,0.9440000000000001,0.311,0.41200000000000003,19.0,3.0
29.0,2007-2008,Utah Jazz,1,82,19705,0.49700000000000005,11.2,0.8340000000000001,0.375,0.099,0.1,0.26,0.166,0.522,0.6409999999999999,0.425,0.41600000000000004,0.429,0.37200000000000005,0.629,0.057,341,0.298,1167,0.882,0.195,0.40399999999999997,19.0,0.0
30.0,2007-2008,Washington Wizards,1,82,19905,0.446,13.0,0.759,0.285,0.145,0.098,0.231,0.24100000000000002,0.475,0.633,0.384,0.353,0.38799999999999996,0.35600000000000004,0.474,0.043,283,0.225,849,0.805,0.18100000000000002,0.38,7.0,0.0
1.0,2008-2009,Atlanta Hawks,1,82,19705,0.45799999999999996,13.3,0.747,0.267,0.16,0.10099999999999999,0.21899999999999997,0.253,0.49,0.627,0.461,0.40299999999999997,0.384,0.366,0.483,0.055,314,0.21100000000000002,790,0.868,0.285,0.4,17.0,0.0
2.0,2008-2009,Boston Celtics,1,82,19880,0.486,12.1,0.7859999999999999,0.332,0.12300000000000001,0.109,0.223,0.214,0.51,0.633,0.402,0.41100000000000003,0.434,0.397,0.541,0.044000000000000004,266,0.281,1042,0.9109999999999999,0.301,0.446,5.0,0.0
