"bbref_id","season","age","experience","team","league","position","games_played","minutes_played","on_court_plus_minus","off_court_plus_minus","prop_pg","prop_sg","prop_sf","prop_pf","prop_c","minutes_pg","minutes_sg","minutes_sf","minutes_pf","minutes_c","position_minutes","position_numeric","team_flag","advanced_position_cluster"
"tollian01",2010,24,2,"TOT","NBA","PF",46,1427,-0.4,-0.3,0,0,0.01,0.69,0.31,0,0,14.27,984.63,442.37,"PF",4.34,TRUE,"Big"
"tollian01",2011,25,3,"MIN","NBA","SF",65,1362,-2.7,6.5,0,0.01,0.4,0.58,0.01,0,13.62,544.8,789.96,13.62,"PF",3.59,TRUE,"Wing"
"tollian01",2012,26,4,"MIN","NBA","SF",51,882,-1.5,0.8,0,0,0.78,0.22,0,0,0,687.96,194.04,0,"SF",3.22,TRUE,"Wing"
"tollian01",2013,27,5,"ATL","NBA","SF",62,963,-2.7,-4.2,0,0.01,0.74,0.26,0,0,9.63,712.62,250.38,0,"SF",3.28,TRUE,"Wing"
"tollian01",2014,28,6,"CHA","NBA","PF",64,1298,2.8,4.3,0,0,0.74,0.24,0.02,0,0,960.52,311.52,25.96,"SF",3.28,TRUE,"Wing"
"tollian01",2015,29,7,"TOT","NBA","PF",76,1432,2.6,4.7,0,0,0.07,0.93,0,0,0,100.24,1331.76,0,"PF",3.93,TRUE,"Wing"
"tollian01",2016,30,8,"DET","NBA","PF",72,1341,0,-0.5,0,0,0.02,0.98,0,0,0,26.82,1314.18,0,"PF",3.98,TRUE,"Wing"
"tollian01",2017,31,9,"SAC","NBA","PF",65,1477,-4.2,-0.5,0,0,0.05,0.95,0.01,0,0,73.85,1403.15,14.77,"PF",4,TRUE,"Wing"
"tollian01",2018,32,10,"DET","NBA","PF",79,1757,0.8,1.8,0,0,0.15,0.85,0,0,0,263.55,1493.45,0,"PF",3.85,TRUE,"Wing"
"tollian01",2019,33,11,"MIN","NBA","PF",65,1079,-3.9,-3.2,0,0,0.2,0.75,0.05,0,0,215.8,809.25,53.95,"PF",3.85,TRUE,"Wing"
"brownbo02",2009,24,1,"TOT","NBA","SG-PG",68,931,-11.9,-4.9,0.44,0.55,0,0,0,409.64,512.05,0,0,0,"SG",1.54,TRUE,"Guard"
"brownbo02",2010,25,2,"TOT","NBA","PG",45,519,-9.5,-4.8,0.77,0.22,0,0,0,399.63,114.18,0,0,0,"PG",1.21,TRUE,"Guard"
"brownbo02",2017,32,3,"HOU","NBA","PG",25,123,-10.1,-16.8,1,0,0,0,0,123,0,0,0,0,"PG",1,TRUE,"Guard"
"brownbo02",2018,33,4,"HOU","NBA","PG",20,115,-24.2,-33.7,0.82,0.18,0,0,0,94.3,20.7,0,0,0,"PG",1.18,TRUE,"Guard"
"rushbr01",2009,23,1,"IND","NBA","SG",75,1803,-4.7,-6.5,0,0.53,0.45,0.01,0,0,955.59,811.35,18.03,0,"SG",2.45,TRUE,"Wing"
"rushbr01",2010,24,2,"IND","NBA","SG",82,2491,-4.1,-2.6,0,0.79,0.2,0,0,0,1967.89,498.2,0,0,"SG",2.18,TRUE,"Wing"
"rushbr01",2011,25,3,"IND","NBA","SG",67,1754,-6.3,-8.8,0,0.99,0.01,0,0,0,1736.46,17.54,0,0,"SG",2.01,TRUE,"Wing"
"rushbr01",2012,26,4,"GSW","NBA","SF",65,1717,-2.6,2.3,0,0.31,0.63,0.06,0,0,532.27,1081.71,103.02,0,"SF",2.75,TRUE,"Wing"
"rushbr01",2013,27,5,"GSW","NBA","SF",2,25,4.2,3.2,0,0.49,0.51,0,0,0,12.25,12.75,0,0,"SF",2.51,TRUE,"Wing"
"rushbr01",2014,28,6,"UTA","NBA","SG",38,418,-10.7,-3.1,0,0.08,0.91,0.01,0,0,33.44,380.38,4.18,0,"SF",2.93,TRUE,"Wing"
"rushbr01",2015,29,7,"GSW","NBA","SG",33,271,-19.2,-32.3,0.01,0.41,0.47,0.11,0,2.71,111.11,127.37,29.81,0,"SF",2.68,TRUE,"Wing"
"rushbr01",2016,30,8,"GSW","NBA","SG",72,1055,0.5,-14.3,0.01,0.61,0.36,0.02,0,10.55,643.55,379.8,21.1,0,"SG",2.39,TRUE,"Wing"
"rushbr01",2017,31,9,"MIN","NBA","SG",47,1030,-1.9,-1.1,0,0.92,0.08,0,0,0,947.6,82.4,0,0,"SG",2.08,TRUE,"Wing"
"lopezbr01",2009,20,1,"NJN","NBA","C",82,2501,-2.9,-0.3,0,0,0,0,1,0,0,0,0,2501,"C",5,TRUE,"Big"
"lopezbr01",2010,21,2,"NJN","NBA","C",82,3027,-10.7,-2.1,0,0,0,0,1,0,0,0,0,3027,"C",5,TRUE,"Big"
"lopezbr01",2011,22,3,"NJN","NBA","C",82,2889,-6.9,0.9,0,0,0,0,1,0,0,0,0,2889,"C",5,TRUE,"Big"
"lopezbr01",2012,23,4,"NJN","NBA","C",5,136,-12.1,-5.6,0,0,0,0,1,0,0,0,0,136,"C",5,TRUE,"Big"
"lopezbr01",2013,24,5,"BRK","NBA","C",74,2253,5.3,7.7,0,0,0,0,1,0,0,0,0,2253,"C",5,TRUE,"Big"
"lopezbr01",2014,25,6,"BRK","NBA","C",17,533,-1.4,-0.8,0,0,0,0,1,0,0,0,0,533,"C",5,TRUE,"Big"
"lopezbr01",2015,26,7,"BRK","NBA","C",72,2100,-3.1,0,0,0,0,0,1,0,0,0,0,2100,"C",5,TRUE,"Big"
"lopezbr01",2016,27,8,"BRK","NBA","C",73,2457,-3.7,10.1,0,0,0,0,1,0,0,0,0,2457,"C",5,TRUE,"Big"
"lopezbr01",2017,28,9,"BRK","NBA","C",75,2222,-4.2,5.1,0,0,0,0,1,0,0,0,0,2222,"C",5,TRUE,"Big"
"lopezbr01",2018,29,10,"LAL","NBA","C",74,1735,-2.6,-1.9,0,0,0,0,1,0,0,0,0,1735,"C",5,TRUE,"Big"
"lopezbr01",2019,30,11,"MIL","NBA","C",81,2322,11,5.8,0,0,0,0,1,0,0,0,0,2322,"C",5,TRUE,"Big"
"martica01",2009,24,1,"CHA","NBA","SF",33,266,7.2,9.2,0,0.34,0.65,0.02,0,0,90.44,172.9,5.32,0,"SF",2.71,TRUE,"Wing"
"martica01",2010,25,2,"TOT","NBA","SF",18,390,0.3,5.1,0,0.26,0.69,0.05,0,0,101.4,269.1,19.5,0,"SF",2.79,TRUE,"Wing"
"martica01",2011,26,3,"WAS","NBA","SF",52,542,1.8,11.5,0,0.23,0.75,0.02,0,0,124.66,406.5,10.84,0,"SF",2.79,TRUE,"Wing"
"martica01",2012,27,4,"WAS","NBA","SF",17,391,3.6,11,0,0.12,0.87,0.01,0,0,46.92,340.17,3.91,0,"SF",2.89,TRUE,"Wing"
"martica01",2013,28,5,"WAS","NBA","SF",41,694,-4.4,-1.7,0,0.38,0.62,0,0,0,263.72,430.28,0,0,"SF",2.62,TRUE,"Wing"
"martica01",2014,29,6,"TOT","NBA","SF",59,870,-6.5,-8.3,0,0.21,0.76,0.04,0,0,182.7,661.2,34.8,0,"SF",2.86,TRUE,"Wing"
"martica01",2015,30,7,"DET","NBA","SF",23,198,4.5,6.2,0,0.55,0.45,0,0,0,108.9,89.1,0,0,"SG",2.45,TRUE,"Wing"
"douglch01",2009,22,1,"NJN","NBA","SG",44,585,3.1,6.8,0.21,0.69,0.1,0,0,122.85,403.65,58.5,0,0,"SG",1.89,TRUE,"Wing"
"douglch01",2010,23,2,"NJN","NBA","SF",67,1730,-11.6,-2.5,0.02,0.28,0.64,0.06,0,34.6,484.4,1107.2,103.8,0,"SF",2.74,TRUE,"Wing"
"douglch01",2011,24,3,"MIL","NBA","SF",44,884,-1.6,-0.9,0,0.17,0.81,0.02,0,0,150.28,716.04,17.68,0,"SF",2.85,TRUE,"Wing"
"douglch01",2013,26,4,"DAL","NBA","SG",6,63,-15.6,-15.2,0,0.82,0.18,0,0,0,51.66,11.34,0,0,"SG",2.18,TRUE,"Wing"
"douglch01",2014,27,5,"CHA","NBA","SF",49,1016,0.4,0.7,0,0.32,0.68,0,0,0,325.12,690.88,0,0,"SF",2.68,TRUE,"Wing"
"douglch01",2015,28,6,"LAC","NBA","SG",12,103,-9.6,-17.3,0.02,0.07,0.91,0,0,2.06,7.21,93.73,0,0,"SF",2.89,TRUE,"Wing"
"leeco01",2009,23,1,"ORL","NBA","SG",77,1939,7.8,-0.1,0.02,0.9,0.08,0,0,38.78,1745.1,155.12,0,0,"SG",2.06,TRUE,"Wing"
"leeco01",2010,24,2,"NJN","NBA","SG",71,2375,-9.5,1.8,0.03,0.91,0.06,0,0,71.25,2161.25,142.5,0,0,"SG",2.03,TRUE,"Wing"
"leeco01",2011,25,3,"HOU","NBA","SG",81,1723,0.6,-2.8,0.06,0.89,0.06,0,0,103.38,1533.47,103.38,0,0,"SG",2.02,TRUE,"Wing"
"leeco01",2012,26,4,"HOU","NBA","SG",58,1757,1.4,2.4,0.01,0.91,0.09,0,0,17.57,1598.87,158.13,0,0,"SG",2.1,TRUE,"Wing"
"leeco01",2013,27,5,"BOS","NBA","SG",78,1941,-1.4,-1.8,0.03,0.83,0.14,0,0,58.23,1611.03,271.74,0,0,"SG",2.11,TRUE,"Wing"
"leeco01",2014,28,6,"TOT","NBA","SG",79,1973,2.1,4.9,0.21,0.73,0.06,0,0,414.33,1440.29,118.38,0,0,"SG",1.85,TRUE,"Wing"
"leeco01",2015,29,7,"MEM","NBA","SG",77,2354,2.2,-2.9,0.03,0.6,0.37,0,0,70.62,1412.4,870.98,0,0,"SG",2.34,TRUE,"Wing"
"leeco01",2016,30,8,"TOT","NBA","SG",79,2334,3.1,4,0,0.65,0.34,0,0,0,1517.1,793.56,0,0,"SG",2.32,TRUE,"Wing"
