"bbref_id","season","blend","season_plus_1","season_plus_2","season_plus_3","season_plus_4","season_plus_5"
"johnsch04",2014,-1.11333333333333,NA,NA,NA,NA,NA
"curryse01",2014,-1.16666666666667,-1.9,0.82,-0.34,NA,NA
"babbch01",2014,-3.33333333333333,NA,NA,NA,NA,NA
"nunnaja01",2014,-4.12666666666667,-3.58666666666667,NA,NA,NA,NA
"wareca01",2014,-2.39333333333333,NA,NA,NA,NA,NA
"murryto01",2014,-2.14666666666667,-4.9,NA,NA,NA,NA
"gutiejo01",2014,-3.51333333333333,-2.92666666666667,NA,NA,NA,NA
"hopsosc01",2014,-7.22,-8.11333333333333,NA,NA,NA,NA
"witheje01",2014,0.706666666666667,-1.35333333333333,1.43333333333333,-0.0866666666666667,-4.90666666666667,NA
"allento01",2014,2.32,4.30666666666667,0.506666666666667,0.28,-2.86666666666667,NA
"harride01",2014,0.593333333333333,-0.666666666666667,-0.993333333333333,0.333333333333333,-0.46,-2.6
"howardw01",2014,3.46,0.906666666666667,0.173333333333333,1.36666666666667,0.326666666666667,-2.25333333333333
"iguodan01",2014,5.42,1.44,1.66,3.35333333333333,1.00666666666667,2.32
"jeffeal01",2014,2.02666666666667,-0.54,-0.446666666666667,-2,-0.713333333333333,NA
"livinsh01",2014,-0.2,-0.86,0.0533333333333333,-2.49333333333333,-2.39333333333333,-2.17333333333333
"martike02",2014,-0.7,-2.46666666666667,NA,NA,NA,NA
"smithjo03",2014,0.733333333333333,0.0333333333333333,-2.06,NA,NA,NA
"varejan01",2014,3.60666666666667,-1.56666666666667,-1.78666666666667,-0.926666666666667,NA,NA
"wrighdo01",2014,-1.62,0.413333333333333,NA,NA,NA,NA
"arizatr01",2014,1.76,1.68666666666667,0.88,1.85333333333333,1.60666666666667,-1.22666666666667
"biedran01",2014,-6.7,NA,NA,NA,NA,NA
"denglu01",2014,2.04666666666667,2.41333333333333,1.89333333333333,-1.05333333333333,-3.74666666666667,0.333333333333333
"humphkr01",2014,-1.12,-2.23333333333333,-2.23333333333333,-2.16,NA,NA
